username,password,uuid
petrovip,12345678,43d6d312-9275-4af5-98a9-3c961c3a1463
ivanovps,12345678,083cd101-c82d-4f53-a72c-7822cf31845a
ivanovis,12345678,083cd101-c82d-4f53-a72c-7822cf31845b
sergeevim,12345678,083cd101-c82d-4f53-a72c-7822cf31859c
archipovaep,12345678,083cd101-c82d-4f53-a72c-7822cf31839e
stepanovna,12345678,083cd101-c82d-4f53-a72c-7822cf31888f
zav18ts001,12345678,067dd722-7f8c-11e8-87f3-005056962144
iii15ts002,12345678,425f3db2-6c0d-11e4-b44f-3b78be5078d4
sad16ts054,12345678,420aaf4a-6c0d-11e4-9c03-b7906a3ccba6
ddg15ts032,12345678,4190bb4a-6c0d-11e4-bca9-3f5116080223
zta17ts001,12345678,9cfcf44a-4659-11e5-9fea-005056960018
isg17ts002,12345678,f962526c-8332-11e7-b91d-005056960018
dkf14ts004,12345678,41939c5c-6c0d-11e4-8e33-5f079ee26acb
dkv18ts002,12345678,ac4db214-7b61-11e8-9fff-005056962144
